match_id,match_number,date,start_time,player_id_of_the_match,toss_winner,toss_selection,venue_id,venue_name,Team1,Team2,Score1,Score2,winner_team
1,Match 1,7/26/2014,20:00,29.0,5,Choice of court : Right,5,"DOME@NSCI SVP Stadium, Mumbai",U Mumba,Jaipur Pink Panthers,45,31,U Mumba
102,Match 41,08-11-2015,20:00,86.0,7,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",Puneri Paltan,Jaipur Pink Panthers,31,18,Puneri Paltan
104,Match 43,08-12-2015,20:00,94.0,1,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls,U Mumba,29,36,U Mumba
105,Match 44,8/13/2015,20:00,141.0,7,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",Puneri Paltan,Bengal Warriors,31,28,Puneri Paltan
1050,Match 11,10-12-2018,20:00,,28,Choice of court :Left,14,"Motilal Nehru School of Sports, Rai, Sonepat",Haryana Steelers,Gujarat Fortunegiants,27,27,
106,Match 45,8/13/2015,21:00,190.0,3,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",Jaipur Pink Panthers,Bengaluru Bulls,25,27,Bengaluru Bulls
107,Match 46,8/14/2015,20:00,46.0,4,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",Bengal Warriors,Patna Pirates,32,34,Patna Pirates
109,Match 48,8/15/2015,20:00,94.0,6,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",Patna Pirates,U Mumba,27,32,U Mumba
11,Match 11,08-01-2014,20:00,92.0,8,Choice of court : Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Telugu Titans,Patna Pirates,35,37,Patna Pirates
110,Match 49,8/15/2015,21:00,26.0,1,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls,Telugu Titans,43,30,Bengaluru Bulls
112,Match 51,8/16/2015,21:00,163.0,4,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengal Warriors,Jaipur Pink Panthers,38,39,Jaipur Pink Panthers
113,Match 52,8/17/2015,20:00,,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,U Mumba,34,39,U Mumba
114,Match 53,8/18/2015,20:00,171.0,5,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba,Telugu Titans,25,46,Telugu Titans
115,Match 54,8/18/2015,21:00,46.0,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,Patna Pirates,21,38,Patna Pirates
116,Match 55,8/19/2015,20:00,46.0,3,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Jaipur Pink Panthers,Patna Pirates,26,24,Jaipur Pink Panthers
117,Match 56,8/19/2015,21:00,232.0,7,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,Bengaluru Bulls,30,31,Bengaluru Bulls
118,Semi-Final 1,8/21/2015,20:00,26.0,8,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",Telugu Titans,Bengaluru Bulls,38,39,Bengaluru Bulls
119,Semi-Final 2,8/21/2015,21:00,105.0,6,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates,U Mumba,35,18,Patna Pirates
12,Match 12,08-01-2014,21:00,12.0,7,Choice of court : Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Puneri Paltan,Bengal Warriors,38,35,Puneri Paltan
120,3/4 Place,8/23/2015,20:00,81.0,6,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates,Telugu Titans,26,34,Telugu Titans
121,Final,8/23/2015,21:00,105.0,5,Choice of court :Right,5,"DOME@NSCI SVP Stadium, Mumbai",U Mumba,Bengaluru Bulls,36,30,U Mumba
122,Match 1,1/30/2016,20:00,111.0,5,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",U Mumba,Telugu Titans,25,27,Telugu Titans
124,Match 3,1/31/2016,20:00,52.0,5,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",U Mumba,Jaipur Pink Panthers,27,18,U Mumba
125,Match 4,1/31/2016,21:00,251.0,7,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",Puneri Paltan,Telugu Titans,27,26,Puneri Paltan
126,Match 5,02-01-2016,20:00,197.0,6,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Visakhapatnam",Patna Pirates,Jaipur Pink Panthers,29,28,Patna Pirates
